#top,QSSEAB353-0-9,,mid,QSSEAB353-0-9,,bot,QSSEAB353-0-9,
WL [nm],SR [A/W],EQE [%],WL [nm],SR [A/W],EQE [%],WL [nm],SR [A/W],EQE [%]
,,,978,0.000044,0.005525,1240,0.754059,75.393713
,,,980,0.000041,0.005153,1250,0.692068,68.642053
,,,982,0.000039,0.004939,1260,0.652624,64.216115
,,,984,0.000041,0.005149,1270,0.683924,66.766099
,,,986,0.00003,0.003723,1280,0.750431,72.686255
,,,988,0.00004,0.00506,1290,0.725846,69.760028
,,,990,0.000036,0.004544,1300,0.652939,62.270278
,,,1000,0.000056,0.006892,1310,0.653201,61.819759
,,,1010,0.000031,0.003789,1320,0.726915,68.274932
,,,--,--,--,1330,0.8044,74.984637
,,,--,--,--,1340,0.779581,72.128716
,,,--,--,--,1350,0.710641,65.263145
,,,0,--,--,1360,0.705125,64.280465
,,,,,,1370,0.766556,69.370562
,,,,,,1380,0.849748,76.341832
,,,,,,1390,0.851416,75.94138
,,,,,,1400,0.780971,69.160583
,,,,,,1410,0.760087,66.833765
,,,,,,1420,0.802287,70.04754
,,,,,,1430,0.860347,74.591524
,,,,,,1440,0.884375,76.142261
,,,,,,1450,0.836473,71.521313
,,,,,,1460,0.783869,66.564443
,,,,,,1470,0.776866,65.520974
,,,,,,1480,0.810136,67.865324
,,,,,,1490,0.860193,71.574998
,,,,,,1500,0.869416,71.860149
,,,,,,1510,0.810367,66.53598
,,,,,,1520,0.75389,61.491653
,,,,,,1530,0.733711,59.454589
,,,,,,1540,0.770013,61.991077
,,,,,,1550,0.813985,65.108262
,,,,,,1560,0.83765,66.571718
,,,,,,1570,0.767283,60.590908
,,,,,,1580,0.633678,49.723638
,,,,,,1590,0.51746,40.348866
,,,,,,1600,0.44035,34.12162
,,,,,,1610,0.412643,31.776035
,,,,,,1620,0.411976,31.528889
,,,,,,1630,0.413267,31.433682
,,,,,,1640,0.398169,30.100591
,,,,,,1650,0.357616,26.871051
,,,,,,1660,0.317908,23.743546
,,,,,,1670,0.282442,20.968387
,,,,,,1680,0.264301,19.504763
,,,,,,1690,0.255059,18.711365
,,,,,,1700,0.257337,18.767439
,,,,,,1710,0.254252,18.433988
,,,,,,1720,0.246496,17.76775
,,,,,,1730,0.222022,15.911118
,,,,,,1740,0.197783,14.092623
,,,,,,1750,0.175767,12.452365
,,,,,,1760,0.153768,10.831894
,,,,,,1770,0.137809,9.65284
,,,,,,1780,0.124452,8.668308
,,,,,,1790,0.110436,7.649055
,,,,,,1800,0.095036,6.545877
,,,,,,1810,0.079851,5.469597
,,,,,,1820,0.065742,4.47843
,,,,,,1830,0.0539,3.651678
,,,,,,1840,0.044944,3.028325
,,,,,,1850,0.03731,2.500353
,,,,,,1860,0.030079,2.004914
,,,,,,1870,0.025499,1.690578
,,,,,,1880,0.021707,1.431504
,,,,,,1890,0.017966,1.178562
,,,,,,1900,0.015466,1.009176
,,,,,,1910,0.01315,0.85355
,,,,,,1920,0.009697,0.626165
,,,,,,1930,0.007291,0.468342
,,,,,,1940,0.005476,0.349946
,,,,,,1950,0.003993,0.253848
